"","child","parent"
"1",66.4359173293175,70.8510694087075
"2",65.9433641100911,69.8588886194668
"3",64.2788577005596,65.2781407906893
"4",63.8519140326973,64.0326310313028
"5",63.1922942260046,63.4189922397126
"6",65.0011167575237,67.8248028337728
"7",65.482190226964,67.8277804949481
"8",65.3108455240961,67.0877773151387
"9",64.8017522310912,66.9774851268398
"10",64.389815200293,65.4918730850286
"11",64.9778815151721,66.5156580338155
"12",64.2828498833038,64.3552596231703
"13",66.6938225191415,70.6389407156411
"14",66.1699288403944,69.302292852655
"15",65.8608983300966,68.5572303440267
"16",65.9635481232194,68.7141680761201
"17",66.1873755123555,68.0219436970054
"18",66.2566515592362,68.6005543614777
"19",66.3053087522124,68.6691828678315
"20",65.9360872018719,67.7415528061433
"21",65.8753764899796,67.8038667512118
"22",65.542477536382,66.7802776221196
"23",65.8694380344774,67.3390225742925
"24",65.5554611044555,67.2409926718904
"25",65.6829737862642,67.828998643017
"26",65.6484900348952,67.2974582315548
"27",65.4811618193001,66.5540592847696
"28",64.9090477191397,65.5245223292559
"29",65.7449825716245,66.8334571470795
"30",65.1613967950749,65.9316622551279
"31",64.8738160223249,65.0664004876192
"32",64.9851953900098,65.3748313172376
"33",64.7326751504668,65.4992916956561
"34",64.9609756562446,65.1059731080581
"35",64.7949054829927,64.6842750619391
"36",64.861285551983,65.2014967926067
"37",65.1477571258454,66.0492849831434
"38",64.6536462778272,64.5160917718093
"39",64.9136585650062,65.2676202873457
"40",64.3878742407597,64.4481259052922
"41",64.6246000385692,64.7721906295327
"42",64.4521394243178,64.3259428839957
"43",64.7306609456792,65.2233659663229
"44",64.3716758876582,64.5606422188879
"45",66.126506207124,68.0556422197307
"46",66.7124202451979,69.2227382168082
"47",66.8916137889464,69.9428088223062
"48",66.4313686104677,69.664641684639
"49",66.54250093452,69.1860623595914
"50",66.3892177160635,69.022278029624
"51",66.5619726648779,68.7321684040303
"52",66.6211065862513,69.7925294377893
"53",66.8920356703253,70.1941781982115
"54",66.8352578762846,69.0983996570677
"55",67.0029822024257,69.8124908414635
"56",66.9751010131172,68.9341170839551
"57",66.9795492531797,69.979107339378
"58",66.8921025148353,69.6779902890413
